handle_norm,month,award_usd
sandy,2024-05,414.89
evo,2024-05,386.09
0x04bytes,2024-05,386.08
0xjoyboy03,2024-05,386.08
dmoore,2024-05,386.08
greed,2024-05,386.08
kirkeelee,2024-05,386.08
krace,2024-05,386.08
novamanbg,2024-05,386.08
sajjad,2024-05,386.08
sldtyenj12,2024-05,386.08
y4y,2024-05,386.08
yovchev_yoan,2024-05,386.08
limbooo,2024-05,330.99
techfund-inc,2024-05,323.85
sparrow,2024-05,287.83
avantgard,2024-05,261.26
sbsecurity,2024-05,254.96
takarez,2024-05,251.45
air_0x,2024-05,247.6
peanuts,2024-05,234.8
c0pp3rscr3w3r,2024-05,232.45
linkenji,2024-05,232.45
caglankaan,2024-05,225.0
thefabled,2024-05,213.34
d3e4,2024-05,213.33
pechenite,2024-05,213.33
samuraii77,2024-05,213.33
merlinboii,2024-05,173.85999999999999
givn,2024-05,164.65
pamprikrumplikas,2024-05,149.54999999999998
web3er,2024-05,142.22
walter,2024-05,136.42
shaflow2,2024-05,103.93
bigsam,2024-05,71.3
topmark,2024-05,71.12
0xsecuri,2024-05,71.11
_karanel,2024-05,71.11
bbl4de,2024-05,71.11
btk,2024-05,71.11
nfmelendez,2024-05,71.11
petarp1998,2024-05,71.11
xdzibecx,2024-05,71.11
naresh,2024-05,55.43
kodyvim,2024-05,55.26
msaptarshi,2024-05,54.63
biakia,2024-05,51.74
yotov721,2024-05,51.58
anticl0ck,2024-05,51.57
januarypersimmon2024,2024-05,51.57
rbserver,2024-05,51.57
erictee,2024-05,43.76
julian_avantgarde,2024-05,39.91
lightoasis,2024-05,39.91
dps,2024-05,32.65
utsav,2024-05,28.830000000000002
audinarey,2024-05,28.82
dhank,2024-05,28.82
rouhsamad,2024-05,28.82
sovaslava,2024-05,28.82
0xhacksmithh,2024-05,28.810000000000002
stormreckson,2024-05,28.810000000000002
haipls,2024-05,28.8
holipot,2024-05,28.8
kaysoft,2024-05,19.38
jolah1,2024-05,18.24
0xabhay,2024-05,15.52
grearlake,2024-05,15.36
0xhashiman,2024-05,15.35
giorgio,2024-05,15.35
luarsec,2024-05,5.0
0xmilenov,2024-05,4.0200000000000005
dyoff,2024-05,4.0200000000000005
joshuajee,2024-05,3.85
lydia_m_t,2024-05,3.06
eaglessecurity,2024-05,2.9
mrcrownft,2024-05,2.89
chista0x,2024-05,1.92
0xb0k0,2024-05,0.22
0xhash,2024-05,0.18000000000000002
steadyman,2024-05,0.18000000000000002
0xakira,2024-05,0.17
abhan,2024-05,0.17
atoko,2024-05,0.17
golu,2024-05,0.17
jc,2024-05,0.17
mt030d,2024-05,0.17
neo_granicen,2024-05,0.17
norah,2024-05,0.17
pelz,2024-05,0.17
tripathi,2024-05,0.17
unix515,2024-05,0.17
y0ng0p3,2024-05,0.17
0xlucky,2024-05,0.08
adam-idarrha,2024-05,0.03
aslanbek,2024-05,0.03
carrotsmuggler,2024-05,0.03
dots,2024-05,0.03
trachev,2024-05,0.03
0rpse,2024-05,0.02
0xdice91,2024-05,0.02
0xleadwizard,2024-05,0.02
0xmosh,2024-05,0.02
bigtone,2024-05,0.02
iamandreiski,2024-05,0.02
leegh,2024-05,0.02
mahmud,2024-05,0.02
mitko1111,2024-05,0.02
pfapostol,2024-05,0.02
prapandey031,2024-05,0.02
robertodf99,2024-05,0.02
sabit,2024-05,0.02
swizz,2024-05,0.02
turvy_fuzz,2024-05,0.02
tychai0s,2024-05,0.02
xyz,2024-05,0.02
0x175,2024-05,0.01
0xaadi,2024-05,0.01
0xblack_bird,2024-05,0.01
0xfox,2024-05,0.01
0xloscar01,2024-05,0.01
0xmystery,2024-05,0.01
agilejune,2024-05,0.01
ahmedaghadi,2024-05,0.01
avoloder,2024-05,0.01
bbash,2024-05,0.01
bctester,2024-05,0.01
beosin,2024-05,0.01
brevis,2024-05,0.01
brgltd,2024-05,0.01
cats,2024-05,0.01
circolors,2024-05,0.01
dd0x7e8,2024-05,0.01
djanerch,2024-05,0.01
dudex_2004,2024-05,0.01
epsec,2024-05,0.01
falconhoof,2024-05,0.01
fandonov,2024-05,0.01
gajiknownnothing,2024-05,0.01
gavfu,2024-05,0.01
ilchovski,2024-05,0.01
itsabinashb,2024-05,0.01
janio,2024-05,0.01
jasonxiale,2024-05,0.01
john_femi,2024-05,0.01
ke1cam,2024-05,0.01
king_,2024-05,0.01
m4ttm,2024-05,0.01
myd,2024-05,0.01
n4nika,2024-05,0.01
niser93,2024-05,0.01
octeezy,2024-05,0.01
oxchsyston,2024-05,0.01
oxsadeeq,2024-05,0.01
pengun,2024-05,0.01
rotitelur,2024-05,0.01
rushkov_boyan,2024-05,0.01
sentryx,2024-05,0.01
snakeeaterr,2024-05,0.01
stakog,2024-05,0.01
stefanov,2024-05,0.01
tedox,2024-05,0.01
th3l1ghtd3m0n,2024-05,0.01
twcctop,2024-05,0.01
typicalhuman,2024-05,0.01
unique,2024-05,0.01
yashgoel72,2024-05,0.01
zdravkohr,2024-05,0.01
0xmax1mus,2024-05,0.0
3docsec,2024-05,0.0
4rdiii,2024-05,0.0
abaikunanbaev,2024-05,0.0
bronze_pickaxe,2024-05,0.0
capgoblin,2024-05,0.0
carlitox477,2024-05,0.0
chainchief,2024-05,0.0
chasethelight,2024-05,0.0
cheatc0d3,2024-05,0.0
deivitto,2024-05,0.0
guhu95,2024-05,0.0
hihen,2024-05,0.0
honeymewn,2024-05,0.0
k42,2024-05,0.0
karsar,2024-05,0.0
krisp,2024-05,0.0
kupiasec,2024-05,0.0
lanrebayode77,2024-05,0.0
lessdupes,2024-05,0.0
ocean_sky,2024-05,0.0
oualidpro,2024-05,0.0
parthmandale,2024-05,0.0
popeye,2024-05,0.0
slvdev,2024-05,0.0
zanderbyte,2024-05,0.0
0xlogos,2024-04,28226.97
lessdupes,2024-04,23953.1
bin2chen,2024-04,11316.21
kupiasec,2024-04,10531.5
rbserver,2024-04,9376.22
0xdice91,2024-04,8126.32
kalogerone,2024-04,8126.32
pkqs90,2024-04,7040.58
bauchibred,2024-04,6902.67
benrai,2024-04,6361.45
fassi_security,2024-04,5749.52
grearlake,2024-04,5497.799999999999
0xalix2,2024-04,4779.54
aymen0909,2024-04,3930.85
petro_1912,2024-04,3697.98
alexxander,2024-04,3532.0899999999997
0xstalin,2024-04,3402.7799999999997
sentryx,2024-04,3396.91
kyp,2024-04,3261.35
danielarmstrong,2024-04,3204.5499999999997
zanybonzy,2024-04,3052.66
ladboy233,2024-04,2835.59
joshuajee,2024-04,2812.96
oakcobalt,2024-04,2735.8700000000003
fyamf,2024-04,2364.91
0xciphky,2024-04,2329.44
0x73696d616f,2024-04,2275.41
iamandreiski,2024-04,2123.64
sbsecurity,2024-04,2083.7799999999997
ilchovski,2024-04,2061.33
jecikpo,2024-04,2050.64
severitysquad,2024-04,1878.28
carrotsmuggler,2024-04,1567.0
mrpotatomagic,2024-04,1531.8
sathish9098,2024-04,1507.4299999999998
spicymeatball,2024-04,1450.71
alix40,2024-04,1417.4399999999998
zzykxx,2024-04,1384.21
fastchecker,2024-04,1330.37
said,2024-04,1258.18
guhu95,2024-04,1187.6599999999999
vad37,2024-04,1183.68
peanuts,2024-04,1171.8799999999999
maroutis,2024-04,1167.24
udsen,2024-04,1139.25
dadekuma,2024-04,1076.5
emmanuel,2024-04,978.02
kennedy1030,2024-04,957.93
arsenlupin,2024-04,935.18
al-qa-qa,2024-04,933.49
joaovwfreire,2024-04,928.78
alexczm,2024-04,914.4499999999999
dimulski,2024-04,847.8199999999999
dup1337,2024-04,842.6600000000001
adam-idarrha,2024-04,779.88
thesavageteddy,2024-04,763.89
lian886,2024-04,761.33
thefabled,2024-04,753.0300000000001
nentor,2024-04,734.0799999999999
d3e4,2024-04,731.13
jorgect,2024-04,725.46
giorgio,2024-04,713.67
ljj,2024-04,703.52
winsec,2024-04,695.9499999999999
goatedaudits,2024-04,694.98
jesjupyter,2024-04,670.3100000000001
sammy,2024-04,648.1500000000001
weed0607,2024-04,629.96
blutorque,2024-04,599.02
bill,2024-04,598.9999999999999
ramenpeople,2024-04,598.9999999999999
eta,2024-04,586.11
t1moh,2024-04,585.68
zhaojohnson,2024-04,565.83
evo,2024-04,539.13
bigtone,2024-04,530.55
gallodasballo,2024-04,490.12
tigerfrake,2024-04,489.01
egis_security,2024-04,485.92999999999995
favelanky,2024-04,483.33
armedgoose,2024-04,463.51
circolors,2024-04,462.66
jokr,2024-04,452.72
hihen,2024-04,447.21
shikhar229169,2024-04,447.13
strausses,2024-04,405.81
infect3d,2024-04,395.74
tapir,2024-04,394.01000000000005
gumgumzum,2024-04,384.3
ke1cam,2024-04,352.03
limbooo,2024-04,349.77
msaptarshi,2024-04,348.9
0x486776,2024-04,344.58
rhaydden,2024-04,339.14
mt030d,2024-04,339.09000000000003
0x007,2024-04,336.80000000000007
dps,2024-04,333.61
0xtankr,2024-04,331.12
honour,2024-04,327.2
0xfox,2024-04,319.6
0xsecuri,2024-04,314.96
stormreckson,2024-04,305.06
3th,2024-04,298.21
pataroff,2024-04,291.13
tpsec,2024-04,288.58
sancybars,2024-04,286.71
forgebyola,2024-04,285.45
theschnilch,2024-04,282.08
bareli,2024-04,265.39
0xleadwizard,2024-04,264.19
albahaca,2024-04,263.61
eeshenggoh,2024-04,260.01
crypticdefense,2024-04,259.20000000000005
pontifex,2024-04,259.07
hchang26,2024-04,258.21
gjaldon,2024-04,257.72
pauliax,2024-04,257.31
atoko,2024-04,254.45
stefanov,2024-04,253.66
cheatc0d3,2024-04,251.76999999999998
am,2024-04,243.18
ahmedaghadi,2024-04,241.85
omen,2024-04,241.61
miniglome,2024-04,238.03
slvdev,2024-04,232.07
inspex,2024-04,229.28
carlitox477,2024-04,225.70999999999998
0xabhay,2024-04,224.45
99crits,2024-04,212.89
naresh,2024-04,212.89
radin100,2024-04,212.89
rolezn,2024-04,212.89
sabit,2024-04,205.73
shubham,2024-04,200.84
den-sosnowsky,2024-04,200.61
bigsam,2024-04,166.16
vancelot,2024-04,157.71
t0x1c,2024-04,156.78
cu5t0mpeo,2024-04,152.27
zac,2024-04,150.76
kaysoft,2024-04,139.48999999999998
jolah1,2024-04,138.31
autosaida,2024-04,138.11
josephdara,2024-04,136.31
alexfilippov314,2024-04,135.35
n1punp,2024-04,133.7
shaflow2,2024-04,131.06
aamirmk,2024-04,129.79
p0wd3r,2024-04,114.85
btk,2024-04,88.06
k42,2024-04,83.68
falconhoof,2024-04,82.16
januarypersimmon2024,2024-04,69.32000000000001
abdessamed,2024-04,62.97999999999999
0xjoyboy03,2024-04,62.86
cryptor,2024-04,62.12
recursiveeth,2024-04,57.45
codeslide,2024-04,56.05
0xbewater0given,2024-04,55.8
codewasp,2024-04,55.26
0xrex,2024-04,55.14
twcctop,2024-04,53.620000000000005
aamir,2024-04,52.44
0xnev,2024-04,51.92999999999999
clara,2024-04,50.72
niloy,2024-04,50.72
sxima,2024-04,50.72
0xmystery,2024-04,48.73
wangxx2026,2024-04,47.730000000000004
0xhacksmithh,2024-04,46.49
daniel526,2024-04,45.7
0xlemon,2024-04,45.12
john_femi,2024-04,41.7
topmark,2024-04,41.63
bhilare_,2024-04,41.379999999999995
3docsec,2024-04,40.00999999999999
koo,2024-04,39.73
audinarey,2024-04,38.9
0xdemon,2024-04,38.15
ak1,2024-04,37.72
dudex_2004,2024-04,37.279999999999994
mrmorningstar,2024-04,35.86
lanrebayode77,2024-04,33.02
blockchainbuttonmasher,2024-04,32.96
crc32,2024-04,32.96
illilli,2024-04,32.96
jasonxiale,2024-04,32.96
lirezarazavi,2024-04,32.96
lsaudit,2024-04,32.96
mining_mario,2024-04,32.96
oualidpro,2024-04,32.96
pfapostol,2024-04,32.96
satoshispeedrunner,2024-04,32.96
zabihullahazadzoi,2024-04,32.96
d_tony7470,2024-04,31.949999999999996
0xaadi,2024-04,31.769999999999996
sashik_eth,2024-04,26.029999999999998
0xbepresent,2024-04,25.939999999999998
jc,2024-04,25.83
miaowu,2024-04,24.59
myrault,2024-04,24.59
vahdrak1,2024-04,24.59
0xblackskull,2024-04,23.68
dimah7,2024-04,23.11
rekxor,2024-04,23.09
0xnilay,2024-04,21.39
techfund,2024-04,20.9
xg,2024-04,20.310000000000002
itsabinashb,2024-04,19.89
centaur,2024-04,19.36
brenzee,2024-04,19.18
djanerch,2024-04,19.18
mrjorystewartbaxter,2024-04,19.18
sparrow,2024-04,19.18
tofunmi,2024-04,19.18
demorex,2024-04,19.169999999999998
0x175,2024-04,18.49
14si2o_flint,2024-04,18.24
inzinko,2024-04,18.24
golu,2024-04,18.2
hajime,2024-04,18.2
oxwhite,2024-04,18.2
0rpse,2024-04,17.64
zigtur,2024-04,17.34
pengun,2024-04,16.09
ironsidesec,2024-04,16.02
igbinosuneric,2024-04,15.08
ducanh2706,2024-04,14.84
steadyman,2024-04,14.74
web3km,2024-04,14.01
tendency,2024-04,13.979999999999999
ryonen,2024-04,13.58
araj,2024-04,13.569999999999999
baz1ka,2024-04,13.569999999999999
mussucal,2024-04,13.569999999999999
0xnightfall,2024-04,13.53
aman,2024-04,13.53
maxim371,2024-04,13.53
honey-k12,2024-04,12.379999999999999
valy001,2024-04,11.080000000000002
pavankv,2024-04,10.39
fandonov,2024-04,10.27
darksnow,2024-04,9.74
joicygiore,2024-04,9.39
ocean_sky,2024-04,9.24
amaron,2024-04,8.69
darktower,2024-04,8.69
windhustler,2024-04,8.69
hueber,2024-04,8.59
zhuying,2024-04,8.59
robertodf99,2024-04,8.21
n4nika,2024-04,7.82
poeaudits,2024-04,7.6499999999999995
n0kto,2024-04,7.63
0xmuxyz,2024-04,7.57
bbl4de,2024-04,7.54
mahmud,2024-04,7.54
biasedmerc,2024-04,7.429999999999999
turvy_fuzz,2024-04,7.369999999999999
caeradenoir,2024-04,7.35
okolicodes,2024-04,7.35
sil3th,2024-04,7.35
sovaslava,2024-04,7.35
angry_mustache_man,2024-04,7.319999999999999
dedohwale,2024-04,7.319999999999999
vasquez,2024-04,7.319999999999999
tchkvsky,2024-04,6.7700000000000005
nnez,2024-04,6.05
aariiif,2024-04,5.4
pelz,2024-04,5.4
wildsniper,2024-04,5.3
avantgard,2024-04,5.05
0xblack_bird,2024-04,4.89
foxb868,2024-04,4.87
igdbase,2024-04,4.87
xiao,2024-04,4.87
bctester,2024-04,4.79
codeislight,2024-04,4.59
draiakoo,2024-04,4.59
linkenji,2024-04,4.59
seeques,2024-04,4.59
krace,2024-04,4.12
0xshitgem,2024-04,4.1
cinderblock,2024-04,4.1
4rdiii,2024-04,4.02
biakia,2024-04,3.93
dinkras,2024-04,3.84
imare,2024-04,3.84
y4y,2024-04,3.84
0xlucky,2024-04,3.82
josh4324,2024-04,3.82
xdzibecx,2024-04,3.82
tychai0s,2024-04,3.74
poslednaya,2024-04,2.96
cholakov,2024-04,2.87
lightoasis,2024-04,2.87
0xbeastboy,2024-04,2.7
havewemeetbefore,2024-04,2.46
novamanbg,2024-04,2.38
hunter_w3b,2024-04,1.52
shaheen,2024-04,1.52
pns,2024-04,1.48
umarkhatab_465,2024-04,1.48
zdravkohr,2024-04,1.38
chasethelight,2024-04,1.3599999999999999
mrcrownft,2024-04,1.2
unix515,2024-04,1.2
youleeyan,2024-04,1.2
kk,2024-04,1.18
underdog,2024-04,0.44999999999999996
aslanbek,2024-04,0.41
stonejiajia,2024-04,0.41
leogold,2024-04,0.28
neocrao,2024-04,0.28
the-seraphs,2024-04,0.28
ych18,2024-04,0.28
sh1v,2024-04,0.23
0xch,2024-04,0.18
eldenelder,2024-04,0.18
gavfu,2024-04,0.18
korok,2024-04,0.18
nikki,2024-04,0.18
velislav4o,2024-04,0.18
adm,2024-04,0.04
b0g0,2024-04,0.04
gesha17,2024-04,0.04
kinda_very_good,2024-04,0.04
m_rassska,2024-04,0.04
maslarovk,2024-04,0.04
neon2835,2024-04,0.04
0x77,2024-04,0.02
0xakira,2024-04,0.02
0xasen,2024-04,0.02
0xbugslayer,2024-04,0.02
0xloscar01,2024-04,0.02
0xmosh,2024-04,0.02
ali-_-y,2024-04,0.02
asui,2024-04,0.02
c0pp3rscr3w3r,2024-04,0.02
caglankaan,2024-04,0.02
dinesh11g,2024-04,0.02
djxploit,2024-04,0.02
dmoore,2024-04,0.02
dots,2024-04,0.02
heedfxn,2024-04,0.02
imp,2024-04,0.02
kartik_giri_47538,2024-04,0.02
lionking927,2024-04,0.02
mrxstrange,2024-04,0.02
niser93,2024-04,0.02
pechenite,2024-04,0.02
pep7siup,2024-04,0.02
ptsanev,2024-04,0.02
ubl4nk,2024-04,0.02
valentin_s2304,2024-04,0.02
xyz,2024-04,0.02
0xordersol,2024-04,0.0
0xpwned,2024-04,0.0
abaikunanbaev,2024-04,0.0
adeolu,2024-04,0.0
atharv,2024-04,0.0
greed,2024-04,0.0
kind0dev,2024-04,0.0
readyplayer2,2024-04,0.0
shui,2024-04,0.0
siguint,2024-04,0.0
ustazz,2024-04,0.0
bin2chen,2024-03,128509.53
oakcobalt,2024-03,68441.76000000001
monrel,2024-03,39108.58
t0x1c,2024-03,19343.85
zhaojie,2024-03,18663.53
dadekuma,2024-03,16835.6
d3e4,2024-03,15563.07
shield,2024-03,14677.71
trust,2024-03,14067.26
0xthec0der,2024-03,13137.21
carrotsmuggler,2024-03,9918.83
zzebra83,2024-03,9799.48
ether_sky,2024-03,9498.41
lsaudit,2024-03,8938.57
circolors,2024-03,8800.83
mrpotatomagic,2024-03,7230.36
klau5,2024-03,7224.33
bauchibred,2024-03,7127.3099999999995
ladboy233,2024-03,7017.62
asui,2024-03,6596.56
darktower,2024-03,6581.1
breeje,2024-03,6556.5199999999995
nonseodion,2024-03,6433.02
joaovwfreire,2024-03,6413.92
b0g0,2024-03,6299.02
rvierdiiev,2024-03,6276.97
alexfilippov314,2024-03,6221.51
aymen0909,2024-03,6149.72
00xsev,2024-03,6092.51
zanybonzy,2024-03,5975.54
limbooo,2024-03,5944.91
0xhunter20,2024-03,5314.56
cosine,2024-03,5209.1
serial-coder,2024-03,4573.16
spicymeatball,2024-03,4015.3100000000004
arz,2024-03,3858.26
0xjuan,2024-03,3697.85
ktg,2024-03,3684.14
ihtishamsudo,2024-03,3404.5
0xbepresent,2024-03,3392.29
pa6kuda,2024-03,3227.4
immeas,2024-03,3177.0600000000004
am,2024-03,3054.79
hchang26,2024-03,3052.1600000000003
hihen,2024-03,2987.21
imare,2024-03,2922.6400000000003
samuraii77,2024-03,2749.9100000000003
tendency,2024-03,2740.36
infect3d,2024-03,2660.67
doublespending,2024-03,2659.3
jorgect,2024-03,2629.91
bigsam,2024-03,2606.67
koolex,2024-03,2606.45
thank_you,2024-03,2564.06
hassanshakeel13,2024-03,2492.46
t4sk,2024-03,2460.12
cheatc0d3,2024-03,2322.59
0x11singh99,2024-03,2300.31
sathish9098,2024-03,2294.49
popeye,2024-03,2154.34
matin,2024-03,2068.88
yixxas,2024-03,2068.88
lightoasis,2024-03,2026.67
mojito_auditor,2024-03,2004.23
grearlake,2024-03,1966.0800000000002
hunter_w3b,2024-03,1873.72
albahaca,2024-03,1708.22
al-qa-qa,2024-03,1666.73
slvdev,2024-03,1648.65
cryptphi,2024-03,1627.01
giorgio,2024-03,1587.96
lanrebayode77,2024-03,1575.83
wangxx2026,2024-03,1550.76
0xleadwizard,2024-03,1503.18
0xmystery,2024-03,1366.54
falconhoof,2024-03,1356.64
ilchovski,2024-03,1332.62
0xepley,2024-03,1287.34
roguereggiant,2024-03,1272.45
blockdev,2024-03,1237.18
theschnilch,2024-03,1175.02
hals,2024-03,1118.3600000000001
josephdara,2024-03,1099.42
oualidpro,2024-03,1065.09
timenov,2024-03,1057.73
cryptor,2024-03,1036.0
mahi_vasisth,2024-03,1030.98
yongskiws,2024-03,950.97
blutorque,2024-03,949.26
0xalix2,2024-03,943.63
fastchecker,2024-03,931.9099999999999
afriauditor,2024-03,915.44
djxploit,2024-03,908.3900000000001
iamandreiski,2024-03,904.62
pechenite,2024-03,871.91
fouzantanveer,2024-03,867.7299999999999
chasethelight,2024-03,860.6800000000001
santiellena,2024-03,838.8199999999999
dup1337,2024-03,805.96
14si2o_flint,2024-03,760.12
n4nika,2024-03,746.92
novamanbg,2024-03,742.93
kodyvim,2024-03,737.08
0xphantom,2024-03,715.48
jcn,2024-03,713.13
xdzibecx,2024-03,702.26
kennedy1030,2024-03,691.33
kaveyjoe,2024-03,687.4799999999999
topmark,2024-03,685.55
dharma09,2024-03,659.6800000000001
0xabhay,2024-03,625.2099999999999
omik,2024-03,625.2099999999999
danielarmstrong,2024-03,603.0100000000001
dvrkzy,2024-03,589.16
codewasp,2024-03,577.45
vad37,2024-03,568.4899999999999
erebus,2024-03,565.16
forgebyola,2024-03,565.16
yashar,2024-03,565.16
radev_sw,2024-03,563.06
kupiasec,2024-03,560.56
myd,2024-03,550.9399999999999
abaikunanbaev,2024-03,542.32
invitedtea,2024-03,527.39
aariiif,2024-03,514.56
bube,2024-03,511.48
0xciphky,2024-03,498.90999999999997
unix515,2024-03,474.51
alix40,2024-03,463.90999999999997
drynooo,2024-03,444.19
tigerfrake,2024-03,442.64
bctester,2024-03,423.87
zhanmingjing,2024-03,423.87
caeradenoir,2024-03,418.69
ayden,2024-03,415.34
rhaydden,2024-03,404.17
arsenlupin,2024-03,398.02
jesusrod15,2024-03,398.02
k42,2024-03,392.43
maxim371,2024-03,386.22
0xaadi,2024-03,377.05
deepplus,2024-03,366.04999999999995
0xanah,2024-03,356.23
emerald7017,2024-03,348.28000000000003
cryp70,2024-03,330.24
bareli,2024-03,313.65000000000003
sm3_ss,2024-03,309.63
linkenji,2024-03,302.82
pfapostol,2024-03,287.88
shaka,2024-03,281.43
inallhonesty,2024-03,269.18
foxb868,2024-03,241.96
clara,2024-03,235.44
zabihullahazadzoi,2024-03,229.69
souilos,2024-03,228.49
atoko,2024-03,224.47
fassi_security,2024-03,211.06
agilejune,2024-03,210.3
norah,2024-03,205.34
btk,2024-03,202.17
saq,2024-03,193.21
kfx,2024-03,190.94
illilli,2024-03,187.87
bozho,2024-03,184.9
linmiaomiao,2024-03,184.22
tripathi,2024-03,165.51999999999998
y0ng0p3,2024-03,162.19
shamsulhaq123,2024-03,161.07999999999998
neon2835,2024-03,156.62
rjs,2024-03,145.8
jck,2024-03,145.56
0xbrett8571,2024-03,141.17000000000002
abdessamed,2024-03,140.89
0xspryon,2024-03,140.43
jecikpo,2024-03,133.39
trachev,2024-03,132.60999999999999
turvy_fuzz,2024-03,132.60999999999999
0xhacksmithh,2024-03,129.99
naman1778,2024-03,120.84
0xsecuri,2024-03,102.05
krace,2024-03,93.15
0xdemon,2024-03,92.94
befree3x,2024-03,92.11
pynschon,2024-03,92.11
aua_oo7,2024-03,86.97
pavankv,2024-03,85.75
0xk3y,2024-03,72.54
mike_bello90,2024-03,72.54
th3l1ghtd3m0n,2024-03,72.54
ast3ros,2024-03,72.43
kaden,2024-03,72.43
kartik_giri_47538,2024-03,72.43
ni8mare,2024-03,72.43
shubham,2024-03,72.43
tychai0s,2024-03,72.43
daniel526,2024-03,71.32
johnsmith,2024-03,70.67
unique,2024-03,67.41
evo,2024-03,67.25
leegh,2024-03,65.62
yotov721,2024-03,65.62
jnforja,2024-03,64.63
sxima,2024-03,60.3
caglankaan,2024-03,53.03
mohammedrizwan,2024-03,49.39
bowtiedoriole,2024-03,48.75
sy_s,2024-03,46.13
jcfichtner,2024-03,45.84
n1punp,2024-03,45.3
icebear,2024-03,44.620000000000005
0x175,2024-03,44.19
adeolu,2024-03,42.78
arabadzhiev,2024-03,42.78
tpiliposian,2024-03,42.78
zaevlad,2024-03,42.78
y4y,2024-03,37.81
crypticdefense,2024-03,36.87
7ashraf,2024-03,36.34
gpersoon,2024-03,36.34
koala,2024-03,36.34
shealtielanz,2024-03,36.34
kalyan-singh,2024-03,33.54
masamune,2024-03,33.54
mctoady,2024-03,33.22
givn,2024-03,30.96
sbsecurity,2024-03,28.23
auditor2947,2024-03,26.76
silvermist,2024-03,25.11
0xjaeger,2024-03,25.08
erosjohn,2024-03,21.85
msk,2024-03,21.28
kinda_very_good,2024-03,20.67
nmirchev8,2024-03,20.67
0xgreywolf,2024-03,18.57
rolezn,2024-03,17.99
0rpse,2024-03,17.32
0xbugslayer,2024-03,17.32
0xloscar01,2024-03,17.32
ali-_-y,2024-03,17.32
nnez,2024-03,17.32
ocean_sky,2024-03,17.32
stackachu,2024-03,17.32
0xe1,2024-03,15.33
hassan-truscova,2024-03,15.33
ravikiranweb3,2024-03,15.33
fitro,2024-03,14.700000000000001
hajime,2024-03,13.69
stonejiajia,2024-03,10.29
0xlemon,2024-03,9.75
dd0x7e8,2024-03,9.75
dots,2024-03,9.75
0xakira,2024-03,8.28
0xmosh,2024-03,8.28
0xweb3boy,2024-03,8.28
aamir,2024-03,8.28
arnie,2024-03,8.28
baz1ka,2024-03,8.28
eaglessecurity,2024-03,8.28
honour,2024-03,8.28
igbinosuneric,2024-03,8.28
jaydhales,2024-03,8.28
jc,2024-03,8.28
m4ttm,2024-03,8.28
maslarovk,2024-03,8.28
niser93,2024-03,8.28
nonn_ac,2024-03,8.28
oxtenma,2024-03,8.28
pkqs90,2024-03,8.28
stormreckson,2024-03,8.28
aycozynfada,2024-03,6.95
jesjupyter,2024-03,6.95
robriks,2024-03,6.95
0xblackskull,2024-03,6.61
boredpukar,2024-03,6.61
msaptarshi,2024-03,6.61
alexander_orjustalex,2024-03,3.35
amow,2024-03,3.35
web3tycoon,2024-03,3.35
zxriptor,2024-03,3.35
0xjoyboy03,2024-03,1.47
0xkeesmark,2024-03,1.47
0xrio,2024-03,1.47
act3r,2024-03,1.47
danieltan_metatrust,2024-03,1.47
gesha17,2024-03,1.47
goslang,2024-03,1.47
greed,2024-03,1.47
iberry,2024-03,1.47
kr1s,2024-03,1.47
marqymarq10,2024-03,1.47
radin100,2024-03,1.47
sammy,2024-03,1.47
smbv-1923,2024-03,1.47
soosheethewise,2024-03,1.47
valentin_s2304,2024-03,1.47
yvuchev,2024-03,1.47
nonseodion,2024-02,37528.13
j4x,2024-02,23597.19
castle_chain,2024-02,21555.12
0xstalin,2024-02,21136.58
dup1337,2024-02,20400.36
0xciphky,2024-02,15592.36
serial-coder,2024-02,10899.43
bin2chen,2024-02,8911.28
arabadzhiev,2024-02,8807.03
draiakoo,2024-02,8149.08
nentor,2024-02,8036.28
codewasp,2024-02,8032.84
theschnilch,2024-02,7861.349999999999
fnanni,2024-02,7568.05
carrotsmuggler,2024-02,7510.88
00xsev,2024-02,7312.25
t0x1c,2024-02,7229.58
d3e4,2024-02,6798.27
armedgoose,2024-02,6794.2300000000005
blutorque,2024-02,6777.990000000001
spicymeatball,2024-02,6558.870000000001
breeje,2024-02,6317.200000000001
lsaudit,2024-02,6173.34
dadekuma,2024-02,6140.09
al-qa-qa,2024-02,6009.370000000001
0xlemon,2024-02,5998.900000000001
osmanozdemir1,2024-02,5987.35
shield,2024-02,5987.35
trust,2024-02,5987.35
sbsecurity,2024-02,5986.81
qiuhaoli,2024-02,5445.53
matin,2024-02,5431.96
fassi_security,2024-02,5236.179999999999
niser93,2024-02,5015.67
haxatron,2024-02,3941.17
max10afternoon,2024-02,3542.49
danielarmstrong,2024-02,3414.5800000000004
jcn,2024-02,3301.5499999999997
aariiif,2024-02,2838.74
juancito,2024-02,2747.3500000000004
barw,2024-02,2513.9100000000003
myd,2024-02,2154.55
hunter_w3b,2024-02,2152.99
0x11singh99,2024-02,1996.49
3docsec,2024-02,1879.93
zanybonzy,2024-02,1861.4
cheatc0d3,2024-02,1630.62
woolcentaur,2024-02,1470.8600000000001
tsvetanovv,2024-02,1464.3500000000001
jorgect,2024-02,1379.0500000000002
oakcobalt,2024-02,1367.4
web3pwn,2024-02,1171.08
